,Date,Time,open,high,low,close,volume
167,31-10-2023,10:50:00,19349.5,19355.0,19344.8,19350.0,550.0
168,31-10-2023,10:55:00,19350.0,19356.55,19345.45,19356.55,450.0
169,31-10-2023,11:00:00,19356.55,19356.6,19354.3,19355.0,200.0
170,31-10-2023,11:05:00,19355.0,19363.7,19355.0,19360.0,100.0
171,31-10-2023,11:10:00,19360.0,19367.1,19360.0,19367.1,100.0
172,31-10-2023,11:15:00,19367.1,19367.1,19359.9,19359.9,150.0
173,31-10-2023,11:20:00,19359.9,19380.0,19359.9,19380.0,200.0
174,31-10-2023,11:25:00,19380.0,19380.85,19370.7,19372.7,1250.0
175,31-10-2023,11:30:00,19375.75,19378.6,19370.0,19370.0,1750.0
176,31-10-2023,11:35:00,19370.0,19375.0,19365.0,19366.1,550.0
177,31-10-2023,11:40:00,19366.1,19366.1,19353.8,19353.85,450.0
178,31-10-2023,11:45:00,19353.85,19353.85,19340.0,19340.0,1350.0
179,31-10-2023,11:50:00,19340.0,19348.7,19340.0,19345.0,500.0
180,31-10-2023,11:55:00,19334.75,19350.9,19334.75,19346.0,700.0
181,31-10-2023,12:00:00,19346.0,19351.0,19341.55,19351.0,400.0
182,31-10-2023,12:05:00,19351.0,19351.0,19350.85,19350.85,500.0
183,31-10-2023,12:10:00,19350.85,19350.85,19343.0,19343.0,300.0
184,31-10-2023,12:15:00,19343.0,19362.0,19338.95,19362.0,450.0
185,31-10-2023,12:20:00,19363.0,19363.0,19351.65,19351.65,100.0
186,31-10-2023,12:25:00,19351.65,19354.05,19351.0,19351.0,1200.0
187,31-10-2023,12:30:00,19351.0,19352.0,19350.0,19352.0,150.0
188,31-10-2023,12:35:00,19352.0,19362.95,19352.0,19361.4,200.0
189,31-10-2023,12:40:00,19361.4,19372.0,19361.4,19371.5,150.0
190,31-10-2023,12:45:00,19371.5,19371.5,19364.0,19364.0,50.0
191,31-10-2023,12:50:00,19364.0,19364.0,19355.05,19357.0,200.0
192,31-10-2023,12:55:00,19357.0,19360.3,19357.0,19359.65,200.0
193,31-10-2023,13:00:00,19359.65,19365.45,19358.85,19365.45,1350.0
194,31-10-2023,13:05:00,19365.45,19372.0,19365.45,19372.0,200.0
195,31-10-2023,13:10:00,19372.0,19376.95,19366.9,19366.9,350.0
196,31-10-2023,13:20:00,19366.9,19374.95,19355.0,19355.0,250.0
197,31-10-2023,13:25:00,19355.0,19375.0,19345.0,19375.0,400.0
198,31-10-2023,13:30:00,19375.0,19392.0,19375.0,19385.0,1000.0
199,31-10-2023,13:35:00,19385.0,19385.0,19350.0,19350.0,150.0
200,31-10-2023,13:40:00,19350.0,19365.0,19350.0,19365.0,100.0
201,31-10-2023,13:45:00,19365.0,19366.95,19360.8,19360.8,450.0
202,31-10-2023,13:50:00,19360.8,19374.4,19360.8,19374.4,100.0
203,31-10-2023,13:55:00,19374.4,19374.4,19360.05,19370.15,700.0
204,31-10-2023,14:00:00,19370.15,19372.6,19364.95,19372.6,400.0
205,31-10-2023,14:05:00,19372.6,19379.45,19372.6,19379.45,200.0
206,31-10-2023,14:10:00,19379.45,19380.0,19378.2,19378.2,250.0
207,31-10-2023,14:15:00,19378.2,19405.0,19378.2,19405.0,1300.0
208,31-10-2023,14:20:00,19405.0,19416.55,19400.85,19416.55,1100.0
209,31-10-2023,14:25:00,19416.55,19418.0,19402.8,19418.0,250.0
210,31-10-2023,14:30:00,19418.0,19430.15,19418.0,19430.15,1350.0
211,31-10-2023,14:35:00,19430.15,19430.15,19405.45,19406.4,350.0
212,31-10-2023,14:40:00,19406.4,19415.0,19406.4,19412.0,150.0
213,31-10-2023,14:45:00,19412.0,19420.0,19412.0,19413.0,1250.0
214,31-10-2023,14:50:00,19413.0,19416.1,19403.05,19403.05,450.0
215,31-10-2023,14:55:00,19403.05,19403.05,19390.0,19390.0,250.0
216,31-10-2023,15:00:00,19390.0,19394.45,19354.6,19356.0,1950.0
217,31-10-2023,15:05:00,19356.0,19360.0,19340.0,19360.0,2150.0
218,31-10-2023,15:10:00,19360.0,19381.55,19360.0,19381.55,1550.0
219,31-10-2023,15:15:00,19381.55,19381.55,19360.2,19368.05,250.0
220,31-10-2023,15:20:00,19368.05,19371.75,19365.0,19365.0,800.0
221,31-10-2023,15:25:00,19365.0,19370.7,19362.55,19366.25,2600.0
222,01-11-2023,09:15:00,19349.95,19368.95,19321.25,19368.95,4500.0
223,01-11-2023,09:20:00,19368.95,19371.85,19354.0,19355.0,550.0
224,01-11-2023,09:25:00,19355.0,19355.0,19344.85,19344.85,1450.0
225,01-11-2023,09:30:00,19344.85,19371.85,19341.3,19368.2,800.0
226,01-11-2023,09:35:00,19364.9,19364.9,19361.15,19361.15,150.0
227,01-11-2023,09:40:00,19361.15,19370.05,19352.4,19361.45,1000.0
228,01-11-2023,09:45:00,19361.45,19361.45,19325.35,19334.2,950.0
229,01-11-2023,09:50:00,19334.2,19334.2,19323.6,19323.6,750.0
230,01-11-2023,09:55:00,19325.0,19325.0,19315.0,19320.45,1950.0
231,01-11-2023,10:00:00,19320.45,19320.45,19300.0,19304.0,2300.0
232,01-11-2023,10:05:00,19304.0,19314.0,19300.75,19314.0,1250.0
233,01-11-2023,10:10:00,19314.0,19324.15,19308.45,19324.15,750.0
234,01-11-2023,10:15:00,19324.15,19340.35,19324.15,19338.0,450.0
235,01-11-2023,10:20:00,19338.0,19338.0,19325.0,19331.5,550.0
236,01-11-2023,10:25:00,19331.5,19332.0,19323.7,19332.0,500.0
237,01-11-2023,10:30:00,19332.0,19335.0,19320.35,19320.35,750.0
238,01-11-2023,10:35:00,19320.35,19322.0,19310.75,19322.0,400.0
239,01-11-2023,10:40:00,19322.0,19331.45,19317.6,19331.45,500.0
240,01-11-2023,10:45:00,19331.45,19331.45,19324.95,19324.95,150.0
241,01-11-2023,10:50:00,19324.95,19332.95,19324.95,19332.95,100.0
242,01-11-2023,10:55:00,19332.95,19337.0,19324.7,19335.0,2300.0
243,01-11-2023,11:00:00,19335.0,19335.0,19333.3,19334.9,250.0
244,01-11-2023,11:05:00,19334.9,19334.9,19322.7,19323.0,700.0
245,01-11-2023,11:10:00,19323.0,19326.25,19319.7,19326.25,350.0
246,01-11-2023,11:15:00,19326.25,19327.05,19320.4,19321.0,650.0
247,01-11-2023,11:20:00,19321.0,19324.9,19318.0,19323.65,250.0
248,01-11-2023,11:25:00,19323.65,19330.0,19323.0,19330.0,350.0
249,01-11-2023,11:30:00,19330.0,19330.0,19321.1,19321.1,1550.0
250,01-11-2023,11:35:00,19321.1,19326.7,19321.1,19326.7,50.0
251,01-11-2023,11:40:00,19326.7,19327.75,19321.25,19327.75,300.0
252,01-11-2023,11:45:00,19327.75,19335.0,19327.75,19335.0,100.0
253,01-11-2023,11:50:00,19335.0,19335.0,19326.0,19334.2,300.0
254,01-11-2023,11:55:00,19334.2,19334.2,19332.65,19332.65,50.0
255,01-11-2023,12:00:00,19332.65,19332.65,19327.0,19327.0,300.0
256,01-11-2023,12:05:00,19327.0,19332.6,19327.0,19332.0,300.0
257,01-11-2023,12:10:00,19332.0,19340.55,19332.0,19335.1,600.0
258,01-11-2023,12:15:00,19335.1,19357.9,19335.1,19338.45,300.0
259,01-11-2023,12:20:00,19338.45,19346.15,19337.05,19346.15,250.0
260,01-11-2023,12:25:00,19346.15,19346.15,19345.0,19345.0,50.0
261,01-11-2023,12:35:00,19345.0,19345.0,19319.0,19319.0,800.0
262,01-11-2023,12:40:00,19319.0,19320.0,19312.95,19319.85,400.0
263,01-11-2023,12:45:00,19319.85,19319.85,19311.0,19311.0,200.0
264,01-11-2023,12:50:00,19311.0,19321.7,19311.0,19311.2,600.0
265,01-11-2023,12:55:00,19311.2,19319.45,19311.2,19317.0,100.0
266,01-11-2023,13:00:00,19317.0,19317.0,19300.05,19306.0,2050.0
267,01-11-2023,13:05:00,19306.0,19313.6,19306.0,19309.0,250.0
268,01-11-2023,13:10:00,19309.0,19309.0,19275.0,19284.5,3950.0
269,01-11-2023,13:15:00,19282.0,19285.0,19266.45,19285.0,4500.0
270,01-11-2023,13:20:00,19285.0,19285.0,19279.0,19281.85,1500.0
271,01-11-2023,13:25:00,19281.85,19292.0,19280.0,19283.6,300.0
272,01-11-2023,13:30:00,19283.6,19295.25,19283.6,19288.35,450.0
273,01-11-2023,13:35:00,19288.35,19296.8,19288.35,19296.8,500.0
274,01-11-2023,13:40:00,19296.8,19313.35,19292.65,19313.35,700.0
275,01-11-2023,13:45:00,19313.35,19315.0,19303.9,19303.9,350.0
276,01-11-2023,13:50:00,19308.5,19309.8,19300.0,19301.6,450.0
277,01-11-2023,13:55:00,19301.6,19301.6,19292.7,19292.7,300.0
278,01-11-2023,14:00:00,19292.7,19300.0,19292.7,19300.0,100.0
279,01-11-2023,14:05:00,19300.0,19300.75,19290.2,19300.75,550.0
280,01-11-2023,14:10:00,19300.75,19300.75,19290.0,19290.0,550.0
281,01-11-2023,14:15:00,19290.0,19297.35,19282.4,19297.35,400.0
282,01-11-2023,14:20:00,19297.35,19297.35,19286.0,19286.0,250.0
283,01-11-2023,14:25:00,19286.0,19293.1,19286.0,19291.15,200.0
284,01-11-2023,14:30:00,19291.15,19298.5,19280.0,19295.0,1500.0
285,01-11-2023,14:35:00,19295.0,19295.0,19289.55,19289.55,200.0
286,01-11-2023,14:40:00,19289.55,19289.55,19280.65,19287.4,250.0
287,01-11-2023,14:45:00,19287.4,19287.4,19279.0,19287.3,250.0
288,01-11-2023,14:50:00,19287.3,19289.45,19284.75,19289.45,200.0
289,01-11-2023,14:55:00,19289.45,19294.9,19285.85,19290.0,400.0
290,01-11-2023,15:00:00,19290.0,19295.0,19275.0,19275.6,1100.0
291,01-11-2023,15:05:00,19275.6,19281.6,19275.0,19281.6,650.0
292,01-11-2023,15:10:00,19281.6,19281.6,19270.0,19270.0,1300.0
293,01-11-2023,15:15:00,19270.0,19271.45,19265.0,19268.0,1750.0
294,01-11-2023,15:20:00,19268.0,19270.9,19261.05,19261.1,1100.0
295,01-11-2023,15:25:00,19261.1,19268.0,19260.0,19267.0,2250.0
296,02-11-2023,09:15:00,19409.8,19423.95,19382.25,19414.35,7650.0
297,02-11-2023,09:20:00,19416.55,19435.55,19415.0,19425.25,4800.0
298,02-11-2023,09:25:00,19425.25,19430.2,19418.9,19426.65,2050.0
299,02-11-2023,09:30:00,19428.0,19431.95,19425.0,19431.95,2800.0
300,02-11-2023,09:35:00,19431.95,19445.0,19428.65,19440.2,4500.0
